DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE
7/20/2018,8,GRD-F,Schuylerville S.,6,Dirt,Serengeti Empress,7,7.8,0,4,Thomas Amoss,Javier Castellano,01:11.4,IND 7/4 3,16,Alternation
7/20/2018,8,GRD-F,Schuylerville S.,6,Dirt,Lady Apple,9,6.3,0,5,Steven Asmussen,"Irad Ortiz, Jr.",01:11.5,BEL 6/7 6,43,Curlin
7/20/2018,8,GRD-F,Schuylerville S.,6,Dirt,Eyeinthesky,8,9.9,0,6,Mark Casse,Tyler Gaffalione,01:11.6,BEL 6/7 3,43,Sky Mesa
7/20/2018,8,GRD-F,Schuylerville S.,6,Dirt,Fightress,4,10,0,7,Norm Casse,Julien Leparoux,01:12.5,CD 6/22 1,28,Tapizar
7/20/2018,8,GRD-F,Schuylerville S.,6,Dirt,Lonely Road,5,36.5,0,8,Christophe Clement,Manuel Franco,01:12.5,BEL 6/13 2,37,Quality Road
7/20/2018,8,GRD-F,Schuylerville S.,6,Dirt,Tapping Pearl,6,12.3,0,9,Mark Casse,Florent Geroux,01:13.8,CD 6/29 4,21,Tapit
7/20/2018,8,GRD-F,Schuylerville S.,6,Dirt,Blame the Frog,10,23.1,0,10,Ben Colebrook,Luis Saez,01:15.2,CD 6/22 6,28,Blame
7/21/2018,2,MSW,,8.5,Turf,Seanow,10,6.4,0,1,Todd Pletcher,John Velazquez,01:45.9,GP 6/23 8,28,Tiznow
7/21/2018,2,MSW,,8.5,Turf,Digital Footprint,8,1.3,1,2,Chad Brown,Javier Castellano,01:46.1,,,Giant's Causeway
7/21/2018,2,MSW,,8.5,Turf,Noble Spirit,9,9.6,0,3,George Weaver,Luis Saez,01:46.1,,,Noble Mission (GB)
7/21/2018,2,MSW,,8.5,Turf,One Mission,5,10,0,4,William Mott,Jose Lezcano,01:46.2,BEL 6/17 5,34,Noble Mission (GB)
7/21/2018,2,MSW,,8.5,Turf,Southern Bridge,4,5.7,0,5,William Mott,Jose Ortiz,01:46.3,,,Lemon Drop Kid
7/21/2018,2,MSW,,8.5,Turf,My Macho,6,10.3,0,6,H. Motion,"Irad Ortiz, Jr.",01:47.0,DEL 7/5 3,16,Mucho Macho Man
7/21/2018,2,MSW,,8.5,Turf,High Sheriff,7,39.25,0,7,D. Lukas,Manuel Franco,01:47.6,,,Colonel John
7/21/2018,2,MSW,,8.5,Turf,Cairo Cat,2,35,0,8,Kenneth McPeek,Dylan Davis,01:47.8,,,Cairo Prince
7/21/2018,2,MSW,,8.5,Turf,Sir Winston,1,16.8,0,9,Mark Casse,Florent Geroux,01:47.9,CD 6/14 6,37,Awesome Again
7/21/2018,2,MSW,,8.5,Turf,Johny's Bobby,3,9.6,0,10,Philip Bauer,Julien Leparoux,01:48.1,CD 6/21 5,30,Hard Spun
7/21/2018,6,MSW,,5.5,Dirt,Nitrous,2,0.85,1,1,Steven Asmussen,"Ricardo Santana, Jr.",01:03.7,CD 6/14 6,37,Tapit
7/21/2018,6,MSW,,5.5,Dirt,Puttheglassdown,1,19,0,2,Jeremiah Englehart,Luis Saez,01:04.2,,,Violence
7/21/2018,6,MSW,,5.5,Dirt,Most Mischief,10,12.8,0,3,W. Calhoun,Kendrick Carmouche,01:04.8,CD 6/23 5,28,Into Mischief
7/21/2018,6,MSW,,5.5,Dirt,Binary,3,5.3,0,4,"Richard Violette, Jr.","Irad Ortiz, Jr.",01:04.9,,,Into Mischief
7/21/2018,6,MSW,,5.5,Dirt,Southern Phantom,8,9.4,0,5,Eric Guillot,Joel Rosario,01:04.9,,,Bodemeister
7/21/2018,6,MSW,,5.5,Dirt,The Big S,5,15.3,0,6,Raymond Handal,Manuel Franco,01:04.9,,,Jimmy Creed
7/21/2018,6,MSW,,5.5,Dirt,Cromwell Avenue,9,35.25,0,6,John Kimmel,David Cohen,01:04.9,,,Flashback
